Symbol,Regime,N,IC_Vel,IC_ZSc,IC_Mom,IC_MomI
EURUSD,TRENDING,84,-0.2007,0.1495,0.1636,-0.1636
EURUSD,RANGING,421,0.025,0.0285,-0.0343,0.0343
EURUSD,CHOPPY,757,-0.0466,-0.0524,-0.0505,0.0505
EURUSD,ALL,1262,-0.0267,-0.0021,-0.0412,0.0412
GBPUSD,TRENDING,57,-0.113,0.0837,0.081,-0.081
GBPUSD,RANGING,409,-0.0683,0.081,0.0145,-0.0145
GBPUSD,CHOPPY,797,0.0814,0.0,-0.0357,0.0357
GBPUSD,ALL,1263,0.0202,0.0319,-0.0126,0.0126
USDJPY,TRENDING,74,0.1418,-0.1643,0.1519,-0.1519
USDJPY,RANGING,512,0.0759,-0.0369,-0.1219,0.1219
USDJPY,CHOPPY,670,-0.0196,0.0896,0.0782,-0.0782
USDJPY,ALL,1256,0.0601,0.0074,-0.0097,0.0097
AUDUSD,TRENDING,88,-0.3404,0.358,-0.0367,0.0367
AUDUSD,RANGING,486,0.0118,0.0075,-0.0045,0.0045
AUDUSD,CHOPPY,713,0.1094,-0.0374,-0.0397,0.0397
AUDUSD,ALL,1287,0.0465,0.0008,-0.042,0.042
GBPJPY,TRENDING,63,-0.0615,0.024,0.2711,-0.2711
GBPJPY,RANGING,551,0.0861,-0.0282,-0.0678,0.0678
GBPJPY,CHOPPY,650,0.0004,0.0467,0.0848,-0.0848
GBPJPY,ALL,1264,0.0363,0.0097,0.021,-0.021
GOLD,TRENDING,152,0.0156,0.0495,-0.0901,0.0901
GOLD,RANGING,356,0.0241,0.0275,0.0705,-0.0705
GOLD,CHOPPY,456,-0.0085,0.0017,0.0598,-0.0598
GOLD,ALL,964,0.0188,0.0086,0.0413,-0.0413
OIL,TRENDING,122,-0.0108,0.0586,0.1443,-0.1443
OIL,RANGING,297,-0.0391,0.0183,0.0822,-0.0822
OIL,CHOPPY,543,-0.0278,0.0519,0.0489,-0.0489
OIL,ALL,962,-0.036,0.0496,0.0647,-0.0647
BTC,TRENDING,243,-0.0156,0.1298,0.0819,-0.0819
BTC,RANGING,338,0.0384,-0.0648,-0.1267,0.1267
BTC,CHOPPY,749,0.0085,-0.0168,-0.0427,0.0427
BTC,ALL,1330,-0.0048,0.0143,-0.0379,0.0379
