Day,N,AvgDayRet%,WinRate,T-stat,P-val,Symbol
Mon,73,0.0574,0.562,1.14,0.256,EURUSD
Tue,73,0.0158,0.438,0.3,0.766,EURUSD
Wed,74,-0.0514,0.459,-0.85,0.4,EURUSD
Thu,73,0.0658,0.466,0.98,0.329,EURUSD
Fri,73,0.0284,0.479,0.56,0.575,EURUSD
Mon,73,0.1113,0.671,2.08,0.041,GBPUSD
Tue,73,0.0103,0.562,0.2,0.843,GBPUSD
Wed,74,-0.0462,0.432,-0.88,0.38,GBPUSD
Thu,73,0.002,0.479,0.04,0.972,GBPUSD
Fri,73,0.0082,0.397,0.17,0.868,GBPUSD
Mon,73,-0.0,0.438,-0.0,1.0,USDJPY
Tue,73,0.018,0.534,0.28,0.782,USDJPY
Wed,74,0.0783,0.568,1.05,0.298,USDJPY
Thu,73,-0.0052,0.534,-0.06,0.949,USDJPY
Fri,73,-0.0214,0.548,-0.27,0.789,USDJPY
Mon,73,0.0958,0.603,1.61,0.112,AUDUSD
Tue,73,0.0278,0.507,0.43,0.667,AUDUSD
Wed,74,-0.0009,0.473,-0.01,0.991,AUDUSD
Thu,73,-0.0203,0.452,-0.31,0.761,AUDUSD
Fri,73,-0.0862,0.452,-0.98,0.329,AUDUSD
Mon,73,0.1175,0.603,2.29,0.025,GBPJPY
Tue,73,0.0274,0.507,0.47,0.642,GBPJPY
Wed,74,0.044,0.554,0.74,0.463,GBPJPY
Thu,73,-0.0175,0.521,-0.24,0.807,GBPJPY
Fri,73,-0.0296,0.548,-0.41,0.682,GBPJPY
Mon,62,0.3917,0.613,2.28,0.026,GOLD
Tue,63,0.3032,0.651,1.68,0.098,GOLD
Wed,61,0.4279,0.705,2.44,0.018,GOLD
Thu,60,0.1882,0.45,0.92,0.36,GOLD
Fri,61,-0.0174,0.541,-0.08,0.936,GOLD
Mon,62,-0.0521,0.565,-0.17,0.863,OIL
Tue,63,-0.0138,0.508,-0.06,0.951,OIL
Wed,61,0.1327,0.492,0.46,0.646,OIL
Thu,60,-0.2497,0.467,-1.05,0.297,OIL
Fri,61,0.0169,0.541,0.07,0.947,OIL
Mon,52,-0.0378,0.577,-0.12,0.901,BTC
Tue,52,-0.0743,0.442,-0.22,0.826,BTC
Wed,53,0.3619,0.509,1.15,0.255,BTC
Thu,52,-0.7023,0.442,-1.75,0.087,BTC
Fri,52,-0.0765,0.423,-0.2,0.846,BTC
